,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,1,2
1,Male,21,15,81,1,4
2,Female,20,16,6,1,2
3,Female,23,16,77,1,4
4,Female,31,17,40,1,2
5,Female,22,17,76,1,4
6,Female,35,18,6,1,2
7,Female,23,18,94,1,4
8,Male,64,19,3,1,2
9,Female,30,19,72,1,4
10,Male,67,19,14,1,2
11,Female,35,19,99,1,4
12,Female,58,20,15,1,2
13,Female,24,20,77,1,4
14,Male,37,20,13,1,2
15,Male,22,20,79,1,4
16,Female,35,21,35,1,2
17,Male,20,21,66,1,4
18,Male,52,23,29,1,2
19,Female,35,23,98,1,4
20,Male,35,24,35,1,2
21,Male,25,24,73,1,4
22,Female,46,25,5,1,2
23,Male,31,25,73,1,4
24,Female,54,28,14,1,2
25,Male,29,28,82,1,4
26,Female,45,28,32,1,2
27,Male,35,28,61,1,4
28,Female,40,29,31,1,2
29,Female,23,29,87,1,4
30,Male,60,30,4,1,2
31,Female,21,30,73,1,4
32,Male,53,33,4,5,2
33,Male,18,33,92,5,4
34,Female,49,33,14,5,2
35,Female,21,33,81,5,4
36,Female,42,34,17,5,2
37,Female,30,34,73,5,4
38,Female,36,37,26,5,2
39,Female,20,37,75,5,4
40,Female,65,38,35,5,2
41,Male,24,38,92,5,4
42,Male,48,39,36,5,2
43,Female,31,39,61,5,0
44,Female,49,39,28,5,2
45,Female,24,39,65,5,4
46,Female,50,40,55,5,0
47,Female,27,40,47,5,0
48,Female,29,40,42,5,0
49,Female,31,40,42,5,0
50,Female,49,42,52,5,0
51,Male,33,42,60,5,0
52,Female,31,43,54,5,0
53,Male,59,43,60,5,0
54,Female,50,43,45,5,0
55,Male,47,43,41,5,0
56,Female,51,44,50,5,0
57,Male,69,44,46,5,0
58,Female,27,46,51,2,0
59,Male,53,46,46,2,0
60,Male,70,46,56,2,0
61,Male,19,46,55,2,0
62,Female,67,47,52,2,0
63,Female,54,47,59,2,0
